johne002: ['346', '0.17976879', '0.13461539', '0.14002089'] 
murpd004: ['133', '0.18102190', '0.11016949', '0.14000000'] 
kenna001: ['209', '0.17315732', '0.10270270', '0.13984962'] 
suttd002: ['131', '0.18337046', '0.11811024', '0.13975903'] 
scutm001: ['687', '0.18204591', '0.11340206', '0.13974750'] 
donaj001: ['296', '0.17175035', '0.12544803', '0.13958333'] 
pierj002: ['456', '0.18045940', '0.07506702', '0.13919128'] 
mcgec001: ['361', '0.17734055', '0.13664596', '0.13900955'] 
kinsi001: ['736', '0.18121094', '0.09367089', '0.13892078'] 
mcdoj003: ['215', '0.16655578', '0.12790698', '0.13876320'] 
bakej001: ['222', '0.16998610', '0.15340909', '0.13875598'] 
crawb001: ['491', '0.17804012', '0.12090680', '0.13858695'] 
franj004: ['604', '0.18831943', '0.10576923', '0.13858268'] 
florp001: ['156', '0.18337564', '0.09345794', '0.13849765'] 
lobaj001: ['214', '0.17837359', '0.11578947', '0.13821138'] 
johnn001: ['109', '0.18464121', '0.14772727', '0.13793103'] 
tream001: ['126', '0.19420516', '0.11111111', '0.13772455'] 
martr004: ['492', '0.17636089', '0.10857143', '0.13748597'] 
rober002: ['490', '0.18654062', '0.13023256', '0.13741496'] 
buted001: ['131', '0.18215461', '0.07462686', '0.13738020'] 
lombs002: ['417', '0.16309720', '0.08746356', '0.13706407'] 
polap001: ['329', '0.18163794', '0.08494209', '0.13680781'] 
maybj001: ['482', '0.18803093', '0.10234541', '0.13653366'] 
heltt001: ['286', '0.18949343', '0.11838006', '0.13636364'] 
kendh001: ['597', '0.17703889', '0.11604095', '0.13615733'] 
sweer001: ['227', '0.19773430', '0.08212560', '0.13583815'] 
therr001: ['385', '0.17708088', '0.08357349', '0.13572024'] 
figgc001: ['197', '0.21073197', '0.08759124', '0.13552362'] 
sancg001: ['330', '0.18558824', '0.12648222', '0.13549039'] 
lemad001: ['252', '0.17714286', '0.10196079', '0.13529412'] 
parrg001: ['433', '0.16480100', '0.08674699', '0.13524878'] 
andir001: ['438', '0.18691385', '0.09841270', '0.13519999'] 
ariaj001: ['345', '0.15893777', '0.11562500', '0.13508613'] 
lairg001: ['199', '0.17181706', '0.07272727', '0.13388430'] 
dobbg001: ['351', '0.17148954', '0.12540193', '0.13385147'] 
cabre001: ['455', '0.19461046', '0.07608695', '0.13338038'] 
mathj001: ['236', '0.17061612', '0.14146341', '0.13287671'] 
gosea001: ['192', '0.19480519', '0.07801419', '0.13286713'] 
robit001: ['165', '0.17591219', '0.11111111', '0.13265306'] 
blacc001: ['122', '0.17798595', '0.09448819', '0.13253012'] 
gordd002: ['331', '0.18400843', '0.08035714', '0.13240418'] 
hannj001: ['324', '0.18241134', '0.10101010', '0.13226452'] 
yound003: ['610', '0.16371268', '0.12998267', '0.13213940'] 
quinh001: ['154', '0.16249999', '0.17699115', '0.13194445'] 
